"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23, 2021","12.88","12.77","13.21","12.77","1.22M","1.14%"
"Jan 22, 2021","12.73","11.30","13.07","11.30","2.25M","12.55%"
"Jan 21, 2021","11.31","12.42","12.57","11.25","1.72M","-8.61%"
"Jan 20, 2021","12.38","11.73","12.58","11.33","1.52M","5.19%"
"Jan 19, 2021","11.77","12.71","13.32","11.77","1.85M","-7.38%"
"Jan 18, 2021","12.70","13.07","13.73","12.70","1.32M","-3.50%"
"Jan 17, 2021","13.16","12.77","13.97","12.72","3.57M","2.72%"
"Jan 16, 2021","12.82","9.38","12.91","9.28","3.90M","36.45%"
"Jan 15, 2021","9.39","9.34","9.64","9.14","1.99M","0.28%"
"Jan 14, 2021","9.37","8.49","9.37","8.27","2.55M","10.80%"
"Jan 13, 2021","8.45","7.71","8.45","7.28","1.71M","9.15%"
"Jan 12, 2021","7.74","6.44","7.83","6.44","3.14M","19.68%"
"Jan 11, 2021","6.47","6.50","6.63","5.88","2.07M","-1.24%"
"Jan 10, 2021","6.55","7.30","7.32","6.24","1.87M","-8.84%"
"Jan 09, 2021","7.19","5.71","7.21","5.71","4.07M","24.08%"
"Jan 08, 2021","5.79","4.48","5.79","4.32","3.03M","29.56%"
"Jan 07, 2021","4.47","4.60","4.78","4.47","1.47M","-2.21%"
"Jan 06, 2021","4.57","4.25","4.88","4.25","2.93M","7.58%"
"Jan 05, 2021","4.25","3.61","4.32","3.57","2.40M","17.94%"
"Jan 04, 2021","3.60","3.48","3.83","3.29","1.24M","3.80%"
"Jan 03, 2021","3.47","3.50","3.75","3.47","989.32K","-0.69%"
"Jan 02, 2021","3.50","3.67","3.75","3.41","1.77M","-4.30%"
"Jan 01, 2021","3.65","3.17","3.69","3.06","3.82M","15.09%"
