"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 13, 2021","15.33150","14.58540","15.33150","14.58540","575.51K","5.12%"
"Mar 12, 2021","14.58540","16.02050","16.02050","14.58540","553.99K","-8.96%"
"Mar 11, 2021","16.02050","14.24040","16.02050","14.13150","574.40K","12.50%"
"Mar 10, 2021","14.24040","14.80720","14.80720","14.24040","554.64K","-3.83%"
"Mar 09, 2021","14.80720","13.62050","14.80720","13.62050","561.09K","8.71%"
"Mar 08, 2021","13.62050","13.78930","13.78930","13.62050","531.50K","-1.22%"
"Mar 07, 2021","13.78930","13.03290","13.78930","13.03290","576.66K","5.80%"
"Mar 06, 2021","13.03290","12.57550","13.03290","12.32920","517.89K","3.64%"
"Mar 05, 2021","12.57550","13.07970","13.07970","12.57550","553.74K","-3.85%"
"Mar 04, 2021","13.07970","14.10250","14.10250","13.05250","565.13K","-7.25%"
"Mar 03, 2021","14.10250","13.95810","14.10250","13.95810","546.91K","1.03%"
"Mar 02, 2021","13.95810","15.00180","15.00180","13.95810","586.27K","-6.96%"
"Mar 01, 2021","15.00180","15.02130","15.02130","14.92030","380.97K","-0.13%"
"Feb 28, 2021","15.02130","13.16360","15.02130","13.16360","510.49K","14.11%"
"Feb 27, 2021","13.16360","13.57890","13.57890","13.16360","556.83K","-3.06%"
"Feb 26, 2021","13.57890","13.90900","13.90900","13.57890","553.84K","-2.37%"
"Feb 25, 2021","13.90900","17.25560","17.25560","13.90900","547.22K","-19.39%"
"Feb 24, 2021","17.25560","15.14400","17.25560","15.14400","570.79K","13.94%"
"Feb 23, 2021","15.14400","14.46390","15.14400","12.29270","558.53K","4.70%"
"Feb 22, 2021","14.46390","11.07230","14.46390","9.92490","567.43K","30.63%"
"Feb 21, 2021","11.07230","9.99060","11.07230","9.99060","549.86K","10.83%"
"Feb 20, 2021","9.99060","11.47050","11.47050","9.99060","564.03K","-12.90%"
"Feb 19, 2021","11.47050","9.01700","11.47050","9.01700","575.55K","27.21%"
"Feb 18, 2021","9.01700","8.22700","9.01700","8.22700","558.09K","9.60%"
"Feb 17, 2021","8.22700","8.30170","8.30170","7.90000","597.89K","-0.90%"
"Feb 16, 2021","8.30170","8.86430","8.86430","8.30170","546.64K","-6.35%"
"Feb 15, 2021","8.86430","8.73070","9.00890","8.73070","568.31K","1.53%"
"Feb 14, 2021","8.73070","8.73180","8.73180","8.71060","549.26K","-0.01%"
"Feb 13, 2021","8.73180","9.22470","9.26810","8.73180","535.36K","-5.34%"
"Feb 12, 2021","9.22470","9.19460","9.22470","9.19460","582.69K","0.33%"
"Feb 11, 2021","9.19460","9.09620","9.19460","9.09620","483.90K","1.08%"
"Feb 10, 2021","9.09620","7.82910","9.09620","7.82910","539.42K","16.18%"
"Feb 09, 2021","7.82910","7.88270","7.88270","7.82910","563.64K","-0.68%"
"Feb 08, 2021","7.88270","6.70150","7.88270","6.70150","598.28K","17.63%"
"Feb 07, 2021","6.70150","6.10090","6.75290","6.10090","559.58K","9.84%"
"Feb 06, 2021","6.10090","6.70240","6.70240","6.10090","550.13K","-8.97%"
"Feb 05, 2021","6.70240","6.44510","6.89350","6.44510","545.11K","3.99%"
"Feb 04, 2021","6.44510","5.71170","6.44510","5.71170","554.47K","12.84%"
"Feb 03, 2021","5.71170","5.26570","5.71170","5.14850","578.67K","8.47%"
"Feb 02, 2021","5.26570","4.61540","5.26570","4.61540","536.29K","14.09%"
"Feb 01, 2021","4.61540","4.25490","4.61540","4.25490","584.67K","8.47%"
"Jan 31, 2021","4.25490","4.20130","4.25490","4.20130","573.23K","1.28%"
"Jan 30, 2021","4.20130","3.88590","4.20130","3.88590","595.64K","8.12%"
"Jan 29, 2021","3.88590","3.81640","3.88590","3.78910","580.35K","1.82%"
"Jan 28, 2021","3.81640","3.76440","3.81640","3.76440","528.36K","1.38%"
"Jan 27, 2021","3.76440","4.04030","4.04030","3.76440","599.54K","-6.83%"
"Jan 26, 2021","4.04030","3.70290","4.04030","3.70290","561.98K","9.11%"
"Jan 25, 2021","3.70290","3.62990","3.70290","3.54080","593.28K","2.01%"
"Jan 24, 2021","3.62990","3.49900","3.62990","3.49900","566.19K","3.74%"
"Jan 23, 2021","3.49900","3.33560","3.49900","3.33560","583.96K","4.90%"
"Jan 22, 2021","3.33560","2.97750","3.33560","2.97750","531.43K","12.03%"
"Jan 21, 2021","2.97750","3.72750","3.72750","2.97750","547.14K","-20.12%"
"Jan 20, 2021","3.72750","3.64820","3.72750","3.64820","550.24K","2.17%"
"Jan 19, 2021","3.64820","3.78380","3.93040","3.64820","571.24K","-3.58%"
"Jan 18, 2021","3.78380","3.81750","3.81750","3.78380","555.94K","-0.88%"
"Jan 17, 2021","3.81750","3.45300","3.81750","3.45300","572.83K","10.56%"
"Jan 16, 2021","3.45300","3.25660","3.45300","3.25660","607.99K","6.03%"
"Jan 15, 2021","3.25660","3.28210","3.28210","3.25660","552.94K","-0.78%"
"Jan 14, 2021","3.28210","3.53730","3.53730","3.28210","565.66K","-7.21%"
"Jan 13, 2021","3.53730","3.60800","3.60800","3.42600","586.31K","-1.96%"
"Jan 12, 2021","3.60800","3.10510","3.60800","3.10510","559.29K","16.20%"
"Jan 11, 2021","3.10510","3.45950","3.45950","3.10510","593.01K","-10.24%"
"Jan 10, 2021","3.45950","3.35950","3.73040","3.27950","566.00K","2.98%"
"Jan 09, 2021","3.35950","3.21030","3.35950","3.21030","456.12K","4.65%"
"Jan 08, 2021","3.21030","2.38180","3.21030","2.38180","561.66K","34.78%"
"Jan 07, 2021","2.38180","1.92630","2.38180","1.92630","2.83M","23.65%"
"Jan 06, 2021","1.92630","2.15960","2.15960","1.92630","1.11M","-10.80%"
"Jan 05, 2021","2.15960","2.46700","2.46700","2.15960","2.19M","-12.46%"
"Jan 04, 2021","2.46700","2.18740","2.46700","2.18740","1.26M","12.78%"
"Jan 03, 2021","2.18740","1.79570","2.18740","1.79570","1.47M","21.81%"
"Jan 02, 2021","1.79570","1.83250","1.98740","1.76590","1.50M","-2.01%"
"Jan 01, 2021","1.83250","1.51150","1.83250","1.51150","1.17M","21.24%"
